Timestamp,UTC,Callsign,Position,Altitude (ft),Altitude (km),Speed (knots),Speed (km/s),Direction
1660119098,2022-08-10T08:11:38Z,ACA536,"20.893669,-156.436218",0,0,0,0,306
1660119655,2022-08-10T08:20:55Z,ACA536,"20.893541,-156.436005",0,0,3,0.001543332,295
1660119675,2022-08-10T08:21:15Z,ACA536,"20.893456,-156.435776",0,0,3,0.001543332,261
1660119694,2022-08-10T08:21:34Z,ACA536,"20.89349,-156.435562",0,0,2,0.001028888,210
1660120134,2022-08-10T08:28:54Z,ACA536,"20.893272,-156.435486",0,0,4,0.002057776,168
1660120145,2022-08-10T08:29:05Z,ACA536,"20.893055,-156.43541",0,0,5,0.00257222,160
1660120153,2022-08-10T08:29:13Z,ACA536,"20.892841,-156.435364",0,0,6,0.003086664,174
1660120160,2022-08-10T08:29:20Z,ACA536,"20.892632,-156.43541",0,0,7,0.003601108,191
1660120167,2022-08-10T08:29:27Z,ACA536,"20.892426,-156.435516",0,0,7,0.003601108,208
1660120174,2022-08-10T08:29:34Z,ACA536,"20.892214,-156.435669",0,0,7,0.003601108,213
1660120182,2022-08-10T08:29:42Z,ACA536,"20.892002,-156.435822",0,0,7,0.003601108,213
1660120189,2022-08-10T08:29:49Z,ACA536,"20.891785,-156.435974",0,0,8,0.004115552,213
1660120197,2022-08-10T08:29:57Z,ACA536,"20.891567,-156.436157",0,0,8,0.004115552,213
1660120203,2022-08-10T08:30:03Z,ACA536,"20.891365,-156.436295",0,0,9,0.004629996,213
1660120209,2022-08-10T08:30:09Z,ACA536,"20.891155,-156.436462",0,0,9,0.004629996,213
1660120216,2022-08-10T08:30:16Z,ACA536,"20.890934,-156.43663",0,0,9,0.004629996,213
1660120222,2022-08-10T08:30:22Z,ACA536,"20.890713,-156.436783",0,0,10,0.00514444,213
1660120229,2022-08-10T08:30:29Z,ACA536,"20.89048,-156.436966",0,0,8,0.004115552,213
1660120238,2022-08-10T08:30:38Z,ACA536,"20.89027,-156.437103",0,0,5,0.00257222,213
1660120249,2022-08-10T08:30:49Z,ACA536,"20.890049,-156.43721",0,0,5,0.00257222,194
1660120259,2022-08-10T08:30:59Z,ACA536,"20.889839,-156.437088",0,0,5,0.00257222,143
1660120269,2022-08-10T08:31:09Z,ACA536,"20.889656,-156.436859",0,0,6,0.003086664,126
1660120278,2022-08-10T08:31:18Z,ACA536,"20.889513,-156.43663",0,0,7,0.003601108,123
1660120287,2022-08-10T08:31:27Z,ACA536,"20.889362,-156.436417",0,0,5,0.00257222,123
1660120298,2022-08-10T08:31:38Z,ACA536,"20.889421,-156.436203",0,0,4,0.002057776,64
1660120309,2022-08-10T08:31:49Z,ACA536,"20.889641,-156.436005",0,0,9,0.004629996,36
1660120313,2022-08-10T08:31:53Z,ACA536,"20.889933,-156.435776",0,0,24,0.012346656,36
1660120316,2022-08-10T08:31:56Z,ACA536,"20.890327,-156.435471",0,0,39,0.020063316,33
1660120318,2022-08-10T08:31:58Z,ACA536,"20.890678,-156.435226",0,0,50,0.0257222,33
1660120320,2022-08-10T08:32:00Z,ACA536,"20.891201,-156.43483",0,0,60,0.03086664,36
