AC Path,Star,Look (deg), El (deg)
.\1st_photo\ACA536-notsmoothed-ph1.csv,Pollux,-2.482428262,-2.972055181
.\1st_photo\ACA536-notsmoothed-ph1.csv,Castor,-3.342869426,1.450715686
.\1st_photo\ACA536-notsmoothed-ph1.csv,Alhena,16.76401143,-0.073517184
.\1st_photo\ACA536-notsmoothed-ph1.csv,Castor B,-3.343566921,1.450344514
.\1st_photo\ACA536-notsmoothed-ph1.csv,Tejat,14.42782807,6.562078079
.\1st_photo\ACA536-notsmoothed-ph1.csv,Mebsuta,9.279486691,4.665403691
.\1st_photo\ACA536-notsmoothed-ph1.csv,Propus,15.6423801,7.987838415
.\1st_photo\ACA536-notsmoothed-ph1.csv,Alzirr,18.14985144,-3.777020188
.\1st_photo\ACA536-notsmoothed-ph1.csv,Wasat,5.823716255,-3.503423875
.\1st_photo\ACA536-notsmoothed-ph1.csv,kappa-Gem,0.074879456,-5.560348856
.\1st_photo\ACA536-notsmoothed-ph1.csv,lambda-Gem,10.01418423,-7.030092269
.\1st_photo\ACA536-notsmoothed-ph1.csv,Theta-Gem,1.37100669,9.144584688
.\1st_photo\ACA536-notsmoothed-ph1.csv,Iota-Gem,0.860094004,-0.212367816
.\1st_photo\ACA536-notsmoothed-ph1.csv,Mekbuda,9.454403597,-1.842888166
.\1st_photo\ACA536-notsmoothed-ph1.csv,Upsilon-Gem,-0.174694337,-2.419161211
.\1st_photo\ACA536-notsmoothed-ph1.csv,Nu-Gem,15.26905203,4.002801498
.\1st_photo\ACA536-notsmoothed-ph1.csv,Rho-Gem,-2.420034028,2.170158734
.\1st_photo\ACA536-notsmoothed-ph1.csv,Sigma-Gem,-2.720552774,-2.038059531
.\1st_photo\ACA536-notsmoothed-ph1.csv,Tau-Gem,1.411255069,3.768833053
.\1st_photo\ACA536-notsmoothed-ph1.csv,Jishui,-5.868415638,2.796428008
.\1st_photo\ACA536-notsmoothed-ph1.csv,Chi-Gem,-5.412834979,-5.744550179
.\1st_photo\ACA536-notsmoothed-ph1.csv,Phi-Gem,-3.032025836,-5.113357347
.\1st_photo\ACA536-notsmoothed-ph1.csv,Pi-Gem,-6.385911682,0.775161492
.\1st_photo\ACA536-notsmoothed-ph1.csv,Omega-Gem,7.095064621,0.963469205
.\1st_photo\ACA536-notsmoothed-ph1.csv,alpha-Lyn,-23.04026887,-9.272587442
.\1st_photo\ACA536-notsmoothed-ph1.csv,Gaia,-23.95592977,-7.146660746
.\1st_photo\ACA536-notsmoothed-ph1.csv,HD 77912,-21.11064348,-7.185558806
.\1st_photo\ACA536-notsmoothed-ph1.csv,10 Ursae Maj,-23.19292506,-1.094896534
.\1st_photo\ACA536-notsmoothed-ph1.csv,Alsciaukat,-18.09529924,3.854571796
.\1st_photo\ACA536-notsmoothed-ph1.csv,21 Lyncis,-14.59880002,14.72267945
.\1st_photo\ACA536-notsmoothed-ph1.csv,15 Lyncis,-18.95908649,24.02692796
.\1st_photo\ACA536-notsmoothed-ph1.csv,2 Lyncis,-16.48971074,28.4204614
.\1st_photo\ACA536-notsmoothed-ph1.csv,Capella,2.013335869,30.99580896
.\1st_photo\ACA536-notsmoothed-ph1.csv,Menkalinan,-1.152364206,23.95678376
.\1st_photo\ACA536-notsmoothed-ph1.csv,Mahasim,5.721868897,19.58557217
.\1st_photo\ACA536-notsmoothed-ph1.csv,Hassaleh,17.04906758,28.13994477
.\1st_photo\ACA536-notsmoothed-ph1.csv,Almaaz,5.659769725,32.37091136
.\1st_photo\ACA536-notsmoothed-ph1.csv,Haedus,7.92040204,30.45214988
